Release_Date	Polling_Start	Polling_End	NrParticipants CDU/CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
28.10.2015	19.10.2015	23.10.2015	2501	36	24	11	6	9	6	8
21.10.2015	12.10.2015	16.10.2015	2502	38	24	11	4	10	7	6
14.10.2015	05.10.2015	09.10.2015	2502	38	25	10	5	9	7	6
07.10.2015	28.09.2015	02.10.2015	2505	39	25	9	5	9	7	6
30.09.2015	21.09.2015	25.09.2015	2506	40	24	10	5	10	5	6
23.09.2015	14.09.2015	18.09.2015	2501	40	24	10	5	10	4	7
16.09.2015	07.09.2015	11.09.2015	2501	41	24	10	4	10	4	7
09.09.2015	31.08.2015	04.09.2015	2503	41	24	10	4	10	4	7
02.09.2015	24.08.2015	28.08.2015	2504	40	24	11	5	11	3	6
26.08.2015	17.08.2015	21.08.2015	2500	41	23	10	4	11	4	7
19.08.2015	10.08.2015	14.08.2015	2500	43	23	10	4	10	3	7
12.08.2015	03.08.2015	07.08.2015	2500	43	23	10	5	9	3	7
05.08.2015	27.07.2015	31.07.2015	2501	41	24	10	5	9	3	8
29.07.2015	20.07.2015	24.07.2015	2501	42	23	10	4	10	3	8
22.07.2015	13.07.2015	17.07.2015	2501	41	24	10	5	10	4	6
14.07.2015	06.07.2015	10.07.2015	2503	42	23	11	4	10	4	6
08.07.2015	29.06.2015	03.07.2015	2502	42	23	11	5	10	4	5
01.07.2015	22.06.2015	26.06.2015	2505	42	23	10	5	10	4	6
24.06.2015	15.06.2015	19.06.2015	2501	41	23	10	5	10	4	7
17.06.2015	08.06.2015	12.06.2015	2502	41	23	11	5	9	5	6
10.06.2015	01.06.2015	05.06.2015	2504	41	24	10	6	9	4	6
02.06.2015	26.05.2015	29.05.2015	2502	40	23	10	6	10	5	6
27.05.2015	18.05.2015	22.05.2015	2503	39	23	11	7	9	4	7
20.05.2015	11.05.2015	15.05.2015	2003	40	22	11	6	9	5	7
12.05.2015	04.05.2015	08.05.2015	2502	41	23	12	4	9	5	6
06.05.2015	27.04.2015	30.04.2015	2001	42	24	10	4	9	4	7
29.04.2015	20.04.2015	24.04.2015	2506	42	24	10	4	9	4	7
22.04.2015	13.04.2015	17.04.2015	2502	42	24	10	4	8	6	6
15.04.2015	07.04.2015	10.04.2015	2004	42	24	10	5	8	5	6
08.04.2015	30.03.2015	02.04.2015	2001	42	23	10	4	9	6	6
31.03.2015	23.03.2015	27.03.2015	2505	42	23	10	4	9	6	6
25.03.2015	16.03.2015	20.03.2015	2501	41	24	10	5	8	5	7
18.03.2015	09.03.2015	13.03.2015	2500	41	24	9	5	9	6	6
11.03.2015	02.03.2015	06.03.2015	2504	41	24	9	5	9	6	6
04.03.2015	23.02.2015	27.02.2015	2502	41	24	9	5	9	7	5
25.02.2015	16.02.2015	20.02.2015	2501	42	24	9	5	9	6	5
18.02.2015	09.02.2015	13.02.2015	2502	43	23	10	5	8	5	6
11.02.2015	02.02.2015	06.02.2015	2503	42	23	10	5	9	6	5
04.02.2015	26.01.2015	30.01.2015	2510	42	23	10	4	10	5	6
28.01.2015	19.01.2015	23.01.2015	2015	42	23	10	3	9	6	7
21.01.2015	12.01.2015	16.01.2015	2502	42	22	10	3	10	6	7
14.01.2015	05.01.2015	09.01.2015	2504	42	22	10	4	10	6	6
07.01.2015	02.01.2015	05.01.2015	1002	42	22	11	3	10	5	7
01.01.2015	15.12.2015	19.12.2015	2504	42	23	10	2	11	5	7
16.12.2014	08.12.2014	12.12.2014	2504	43	23	10	2	10	5	7
10.12.2014	01.12.2014	05.12.2014	2503	41	24	11	2	9	6	7
03.12.2014	24.11.2014	28.11.2014	2502	41	24	11	2	9	6	7
26.11.2014	17.11.2014	21.11.2014	2501	42	23	10	2	10	6	7
19.11.2014	10.11.2014	14.11.2014	2501	42	22	10	3	9	7	7
12.11.2014	03.11.2014	07.11.2014	2502	41	23	9	3	10	8	6
05.11.2014	27.10.2014	31.10.2014	2504	41	22	10	3	9	8	7
29.10.2014	20.10.2014	24.10.2014	2504	41	23	10	2	9	8	7
22.10.2014	13.10.2014	17.10.2014	2504	41	24	9	2	9	8	7
15.10.2014	06.10.2014	10.10.2014	2505	40	23	10	3	9	8	7
07.10.2014	29.09.2014	02.10.2014	2004	41	23	10	2	9	8	7
01.10.2014	22.09.2014	26.09.2014	2501	42	23	9	2	8	9	7
23.09.2014	15.09.2014	19.09.2014	2501	42	22	8	2	9	10	7
17.09.2014	08.09.2014	12.09.2014	2503	41	24	9	3	9	7	7
10.09.2014	01.09.2014	05.09.2014	2502	42	23	9	3	9	7	7
03.09.2014	25.08.2014	29.08.2014	2504	41	24	10	3	10	5	7
27.08.2014	18.08.2014	22.08.2014	2504	42	24	10	3	9	5	7
20.08.2014	11.08.2014	15.08.2014	2502	42	24	10	3	9	5	7
13.08.2014	04.08.2014	08.08.2014	2500	42	24	10	4	9	5	6
06.08.2014	28.07.2014	01.08.2014	2501	43	24	9	4	9	5	6
30.07.2014	21.07.2014	25.07.2014	2501	43	22	10	3	10	5	7
23.07.2014	14.07.2014	18.07.2014	2505	43	22	10	3	10	5	7
16.07.2014	07.07.2014	11.07.2014	2503	41	23	11	3	9	6	7
09.07.2014	30.06.2014	04.07.2014	2014	41	23	11	3	9	6	7
02.07.2014	23.06.2014	27.06.2014	2502	41	23	10	4	9	7	6
25.06.2014	16.06.2014	20.06.2014	2504	41	23	10	4	9	7	6
17.06.2014	10.06.2014	13.06.2014	2001	39	23	10	4	10	7	7
11.06.2014	02.06.2014	06.06.2014	2501	39	23	9	4	10	8	7
04.06.2014	26.05.2014	30.05.2014	2002	38	23	10	4	10	8	7
27.05.2014	19.05.2014	23.05.2014	2503	40	25	10	4	10	6	5
21.05.2014	12.05.2014	16.05.2014	2501	40	24	10	4	10	6	6
14.05.2014	05.05.2014	09.05.2014	2504	40	24	10	4	10	6	6
07.05.2014	28.04.2014	02.05.2014	2001	41	23	10	4	10	5	7
29.04.2014	22.04.2014	25.04.2014	2002	41	24	10	4	9	6	6
23.04.2014	14.04.2014	17.04.2014	2002	41	24	10	4	10	5	6
15.04.2014	07.04.2014	11.04.2014	2501	41	23	10	4	10	6	6
09.04.2014	31.03.2014	04.04.2014	2502	42	23	10	4	10	5	6
02.04.2014	24.03.2014	28.03.2014	2501	42	23	9	4	10	6	6
26.03.2014	17.03.2014	21.03.2014	2502	41	23	10	4	10	5	7
19.03.2014	10.03.2014	14.03.2014	2500	42	23	9	4	10	5	7
12.03.2014	03.03.2014	07.03.2014	2503	42	23	9	4	10	5	7
05.03.2014	24.02.2014	28.02.2014	2500	40	22	10	4	11	6	7
26.02.2014	17.02.2014	21.02.2014	2502	41	22	10	5	10	5	7
19.02.2014	10.02.2014	14.02.2014	2502	40	24	10	4	10	5	7
12.02.2014	03.02.2014	07.02.2014	2502	41	24	10	4	10	4	7
05.02.2014	27.01.2014	31.01.2014	2501	42	24	10	4	9	4	7
